PlantID	SO18-H1-5-41																						
Time (rel/ms)	Date	Time	Type	No.	2:Mark	2:F	2:Fm'	2:PAR	2:Temp	2:Y (II)	2:ETR	2:Fo'	2:ETR-F.	2:qP	2:qN	2:qL	2:NPQ	2:Y (NO)	2:Y (NPQ)	2:Fo	2:Fm	2:Fv/Fm	2:Batt.
2021-10-28	09:22:43	F	35	A	403	518	94	-	0.222	8.8	269	0.84	0.462	0.775	0.308	1.923	0.266	0.512	409	1514	0.73	8
2021-10-28	09:24:23	F	36	A	396	492	131	-	0.195	10.7	262	0.84	0.417	0.792	0.276	2.077	0.262	0.543	409	1514	0.73	8
2021-10-28	09:26:03	F	37	A	393	465	198	-	0.155	12.9	254	0.84	0.341	0.809	0.22	2.256	0.26	0.585	409	1514	0.73	8
2021-10-28	09:27:43	F	38	A	393	445	296	-	0.117	14.5	248	0.84	0.264	0.822	0.167	2.402	0.26	0.623	409	1514	0.73	8
2021-10-28	09:29:23	F	39	A	393	425	436	-	0.075	13.7	242	0.84	0.175	0.834	0.108	2.562	0.26	0.665	409	1514	0.73	8
2021-10-28	09:31:03	F	40	A	392	412	654	-	0.049	13.5	237	0.84	0.114	0.842	0.069	2.675	0.259	0.692	409	1514	0.73	8
2021-10-28	09:32:43	F	41	A	388	404	855	-	0.04	14.4	235	0.84	0.095	0.847	0.058	2.748	0.256	0.704	409	1514	0.73	8
2021-10-28	09:34:23	F	42	A	384	395	1196	-	0.028	14.1	232	0.84	0.067	0.852	0.04	2.833	0.254	0.718	409	1514	0.73	8
2021-10-28	09:36:03	F	43	A	379	388	1561	-	0.023	15.1	229	0.84	0.057	0.856	0.034	2.902	0.25	0.727	409	1514	0.73	8
2021-10-28	09:36:06	SLCE		Light Curve end 																		
PlantID	SO18-H3-4-5																						
Date	Time	Type	No.	2:Mark	2:F	2:Fm'	2:PAR	2:Temp	2:Y (II)	2:ETR	2:Fo'	2:ETR-F.	2:qP	2:qN	2:qL	2:NPQ	2:Y (NO)	2:Y (NPQ)	2:Fo	2:Fm	2:Fv/Fm	2:Batt.
		D		Device Nr: #2, MINI-PAM-II (PYAD0264A) 																		
2021-10-28	09:38:51	SLCS		Light Curve start 																		
2021-10-28	09:38:51	REG1		#2: alpha: 0.052, ETRm: 18.561, Ik: 355.502   ( beta: 0.006, ETRmPot: 27.101 ) 																		
2021-10-28	09:38:51	REG2		#2: alpha: 0.044, ETRm: 18.387, Ik: 418.117 																		
2021-10-28	09:38:52	SCHS		Chart start 																		
2021-10-28	09:38:52	FO	44	A	284	765	0	-	0.629	0	-	0.84	-	-	-	-	-	-	284	765	0.629	8
2021-10-28	09:40:32	F	45	A	637	768	27	-	0.171	1.9	284	0.84	0.271	-0.006	0.121	-0.004	0.833	-0.004	284	765	0.629	8
2021-10-28	09:42:12	F	46	A	585	660	47	-	0.114	2.3	268	0.84	0.191	0.185	0.088	0.159	0.765	0.121	284	765	0.629	8.1
2021-10-28	09:43:52	F	47	A	505	565	68	-	0.106	3	251	0.84	0.191	0.347	0.095	0.354	0.66	0.234	284	765	0.629	8
2021-10-28	09:45:32	F	48	A	454	506	94	-	0.103	4.1	239	0.84	0.195	0.445	0.103	0.512	0.593	0.304	284	765	0.629	8
2021-10-28	09:47:12	F	49	A	418	465	130	-	0.101	5.5	229	0.84	0.199	0.509	0.109	0.645	0.546	0.353	284	765	0.629	8
2021-10-28	09:48:52	F	50	A	393	432	198	-	0.09	7.5	221	0.84	0.185	0.561	0.104	0.771	0.514	0.396	284	765	0.629	8
2021-10-28	09:50:32	F	51	A	369	403	296	-	0.084	10.4	213	0.84	0.179	0.605	0.103	0.898	0.482	0.434	284	765	0.629	8
2021-10-28	09:52:12	F	52	A	348	379	436	-	0.082	15	206	0.84	0.179	0.64	0.106	1.018	0.455	0.463	284	765	0.629	8
2021-10-28	09:53:52	F	53	A	330	353	654	-	0.065	17.9	198	0.84	0.148	0.678	0.089	1.167	0.431	0.504	284	765	0.629	8
2021-10-28	09:55:32	F	54	A	301	317	855	-	0.05	18	186	0.84	0.122	0.728	0.075	1.413	0.393	0.557	284	765	0.629	8
2021-10-28	09:57:12	F	55	A	260	269	1197	-	0.033	16.6	169	0.84	0.09	0.792	0.059	1.844	0.34	0.627	284	765	0.629	8.1
2021-10-28	09:58:52	F	56	A	234	241	1563	-	0.029	19	157	0.84	0.083	0.825	0.056	2.174	0.306	0.665	284	765	0.629	8.1
2021-10-28	09:58:54	SLCE		Light Curve end 																		
PlantID	SO18-H3-4-33																						
Date	Time	Type	No.	2:Mark	2:F	2:Fm'	2:PAR	2:Temp	2:Y (II)	2:ETR	2:Fo'	2:ETR-F.	2:qP	2:qN	2:qL	2:NPQ	2:Y (NO)	2:Y (NPQ)	2:Fo	2:Fm	2:Fv/Fm	2:Batt.
		D		Device Nr: #2, MINI-PAM-II (PYAD0264A) 																		
2021-10-28	10:02:53	SLCS		Light Curve start 																		
2021-10-28	10:02:53	REG1		#2: alpha: 0.206, ETRm: 10.054, Ik: 48.888   ( beta: 0.000, ETRmPot: 10.183 ) 																		
2021-10-28	10:02:53	REG2		#2: alpha: 0.153, ETRm: 9.872, Ik: 64.476 																		
2021-10-28	10:02:54	SCHS		Chart start 																		
2021-10-28	10:02:54	FO	57	A	494	1898	0	-	0.74	0	-	0.84	-	-	-	-	-	-	494	1898	0.74	8.1
2021-10-28	10:04:34	F	58	A	577	861	27	-	0.33	3.7	376	0.84	0.586	0.655	0.382	1.204	0.304	0.366	494	1898	0.74	8
2021-10-28	10:06:14	F	59	A	530	756	47	-	0.299	5.9	355	0.84	0.564	0.714	0.378	1.511	0.279	0.422	494	1898	0.74	8
2021-10-28	10:07:54	F	60	A	524	724	68	-	0.276	7.9	347	0.84	0.531	0.731	0.352	1.622	0.276	0.448	494	1898	0.74	8
2021-10-28	10:09:34	F	61	A	504	658	94	-	0.234	9.2	331	0.84	0.471	0.767	0.309	1.884	0.266	0.5	494	1898	0.74	8
2021-10-28	10:11:14	F	62	A	478	580	131	-	0.176	9.7	310	0.84	0.378	0.808	0.245	2.272	0.252	0.572	494	1898	0.74	8
2021-10-28	10:12:54	F	63	A	468	530	198	-	0.117	9.7	295	0.84	0.264	0.833	0.166	2.581	0.247	0.636	494	1898	0.74	8
2021-10-28	10:14:34	F	64	A	466	506	296	-	0.079	9.8	288	0.84	0.183	0.845	0.113	2.751	0.246	0.675	494	1898	0.74	8
2021-10-28	10:16:14	F	65	A	465	492	437	-	0.055	10.1	283	0.84	0.129	0.851	0.079	2.858	0.245	0.7	494	1898	0.74	8.1
2021-10-28	10:17:54	F	66	A	464	481	655	-	0.035	9.6	280	0.84	0.085	0.857	0.051	2.946	0.244	0.721	494	1898	0.74	8
2021-10-28	10:19:34	F	67	A	458	471	856	-	0.028	10.1	276	0.84	0.067	0.861	0.04	3.03	0.241	0.731	494	1898	0.74	8
2021-10-28	10:21:14	F	68	A	455	464	1197	-	0.019	9.6	274	0.84	0.047	0.865	0.028	3.091	0.24	0.741	494	1898	0.74	8.1
2021-10-28	10:22:54	F	69	A	451	458	1561	-	0.015	9.8	272	0.84	0.038	0.868	0.023	3.144	0.238	0.747	494	1898	0.74	8
2021-10-28	10:22:56	SLCE		Light Curve end 																		
PlantID	SO18-H3-7-10																						
Time (rel/ms)	Date	Time	Type	No.	2:Mark	2:F	2:Fm'	2:PAR	2:Temp	2:Y (II)	2:ETR	2:Fo'	2:ETR-F.	2:qP	2:qN	2:qL	2:NPQ	2:Y (NO)	2:Y (NPQ)	2:Fo	2:Fm	2:Fv/Fm	2:Batt.
0			D		Device Nr: #2, MINI-PAM-II (PYAD0264A) 																		
0	2021-12-19	13:14:10	SLCS		Light Curve start 																		
0	2021-12-19	13:14:10	REG1		#2: alpha: - , ETRm: - , Ik: -   ( beta: - 0.001, ETRmPot: 9.764 ) 																		
0	2021-12-19	13:14:10	REG2		#2: alpha: 0.099, ETRm: 10.752, Ik: 108.248 																		
1347	2021-12-19	13:14:12	SCHS		Chart start 																		
1348	2021-12-19	13:14:12	FO	1	A	609	2302	0	-	0.735	0	-	0.84	-	-	-	-	-	-	609	2302	0.735	7.8
101330	2021-12-19	13:15:52	F	2	A	888	1304	27	-	0.319	3.6	506	0.84	0.521	0.529	0.297	0.765	0.386	0.295	609	2302	0.735	7.9
201317	2021-12-19	13:17:32	F	3	A	778	1039	48	-	0.251	5.1	461	0.84	0.452	0.659	0.268	1.216	0.338	0.411	609	2302	0.735	7.8
301319	2021-12-19	13:19:12	F	4	A	714	911	68	-	0.216	6.2	434	0.84	0.413	0.718	0.251	1.527	0.31	0.474	609	2302	0.735	7.8
401312	2021-12-19	13:20:52	F	5	A	657	803	95	-	0.182	7.3	408	0.84	0.37	0.767	0.23	1.867	0.285	0.533	609	2302	0.735	7.8
501291	2021-12-19	13:22:32	F	6	A	635	748	132	-	0.151	8.4	393	0.84	0.318	0.79	0.197	2.078	0.276	0.573	609	2302	0.735	7.8
601279	2021-12-19	13:24:12	F	7	A	629	709	199	-	0.113	9.4	382	0.84	0.245	0.807	0.149	2.247	0.273	0.614	609	2302	0.735	7.8
701266	2021-12-19	13:25:52	F	8	A	628	680	299	-	0.076	9.5	373	0.84	0.169	0.819	0.1	2.385	0.273	0.651	609	2302	0.735	7.8
801244	2021-12-19	13:27:31	F	9	A	624	661	441	-	0.056	10.4	368	0.84	0.126	0.827	0.074	2.483	0.271	0.673	609	2302	0.735	7.8
901251	2021-12-19	13:29:11	F	10	A	621	646	661	-	0.039	10.8	363	0.84	0.088	0.833	0.051	2.563	0.27	0.691	609	2302	0.735	7.8
1001236	2021-12-19	13:30:51	F	11	A	613	634	864	-	0.033	12	359	0.84	0.076	0.838	0.045	2.631	0.266	0.701	609	2302	0.735	7.9
1101221	2021-12-19	13:32:31	F	12	A	605	618	1209	-	0.021	10.7	354	0.84	0.049	0.844	0.029	2.725	0.263	0.716	609	2302	0.735	7.8
1201204	2021-12-19	13:34:11	F	13	A	593	604	1578	-	0.018	11.9	349	0.84	0.043	0.849	0.025	2.811	0.258	0.724	609	2302	0.735	7.8
1203972	2021-12-19	13:34:14	SLCE		Light Curve end 																		
PlantID	SO18-H3-7-30																						
Time (rel/ms)	Date	Time	Type	No.	2:Mark	2:F	2:Fm'	2:PAR	2:Temp	2:Y (II)	2:ETR	2:Fo'	2:ETR-F.	2:qP	2:qN	2:qL	2:NPQ	2:Y (NO)	2:Y (NPQ)	2:Fo	2:Fm	2:Fv/Fm	2:Batt.
0			D		Device Nr: #2, MINI-PAM-II (PYAD0264A) 																		
0	2021-12-19	13:37:37	SLCS		Light Curve start 																		
0	2021-12-19	13:37:37	REG1		#2: alpha: - , ETRm: - , Ik: -   ( beta: - 0.003, ETRmPot: 7.159 ) 																		
0	2021-12-19	13:37:37	REG2		#2: alpha: 0.068, ETRm: 10.098, Ik: 148.746 																		
1192	2021-12-19	13:37:39	SCHS		Chart start 																		
1193	2021-12-19	13:37:39	FO	14	A	445	1443	0	-	0.692	0	-	0.84	-	-	-	-	-	-	445	1443	0.692	7.8
101195	2021-12-19	13:39:19	F	15	A	448	627	27	-	0.285	3.2	318	0.84	0.579	0.69	0.411	1.301	0.31	0.405	445	1443	0.692	7.8
201161	2021-12-19	13:40:59	F	16	A	328	407	47	-	0.194	3.8	249	0.84	0.5	0.842	0.38	2.545	0.227	0.579	445	1443	0.692	7.8
301165	2021-12-19	13:42:39	F	17	A	298	361	68	-	0.175	5	231	0.84	0.485	0.87	0.376	2.997	0.207	0.618	445	1443	0.692	7.8
401153	2021-12-19	13:44:19	F	18	A	289	340	95	-	0.15	6	222	0.84	0.432	0.882	0.332	3.244	0.2	0.65	445	1443	0.692	7.9
501134	2021-12-19	13:45:59	F	19	A	288	328	132	-	0.122	6.8	217	0.84	0.36	0.889	0.271	3.399	0.2	0.678	445	1443	0.692	7.8
601119	2021-12-19	13:47:39	F	20	A	291	320	200	-	0.091	7.6	214	0.84	0.274	0.894	0.201	3.509	0.202	0.707	445	1443	0.692	7.8
701129	2021-12-19	13:49:19	F	21	A	294	314	299	-	0.064	8	211	0.84	0.194	0.897	0.139	3.596	0.204	0.732	445	1443	0.692	7.8
801110	2021-12-19	13:50:59	F	22	A	295	310	441	-	0.048	8.9	209	0.84	0.149	0.899	0.106	3.655	0.204	0.748	445	1443	0.692	7.8
901097	2021-12-19	13:52:38	F	23	A	296	306	661	-	0.033	9.2	207	0.84	0.101	0.901	0.071	3.716	0.205	0.762	445	1443	0.692	7.9
1001085	2021-12-19	13:54:18	F	24	A	295	303	865	-	0.026	9.4	206	0.84	0.082	0.903	0.057	3.762	0.204	0.77	445	1443	0.692	7.8
1101065	2021-12-19	13:55:58	F	25	A	293	300	1210	-	0.023	11.7	205	0.84	0.074	0.905	0.052	3.81	0.203	0.774	445	1443	0.692	7.8
1201056	2021-12-19	13:57:38	F	26	A	290	296	1579	-	0.02	13.3	203	0.84	0.065	0.907	0.046	3.875	0.201	0.779	445	1443	0.692	7.8
1203780	2021-12-19	13:57:41	SLCE		Light Curve end 																		
PlantID	SO18-H1-5-15																						
Time (rel/ms)	Date	Time	Type	No.	2:Mark	2:F	2:Fm'	2:PAR	2:Temp	2:Y (II)	2:ETR	2:Fo'	2:ETR-F.	2:qP	2:qN	2:qL	2:NPQ	2:Y (NO)	2:Y (NPQ)	2:Fo	2:Fm	2:Fv/Fm	2:Batt.
0			D		Device Nr: #2, MINI-PAM-II (PYAD0264A) 																		
0	2021-12-19	13:59:58	SLCS		Light Curve start 																		
0	2021-12-19	13:59:58	REG1		#2: alpha: - , ETRm: - , Ik: -   ( beta: - 0.004, ETRmPot: 11.913 ) 																		
0	2021-12-19	13:59:58	REG2		#2: alpha: 0.135, ETRm: 15.847, Ik: 117.788 																		
883	2021-12-19	13:59:59	SCHS		Chart start 																		
884	2021-12-19	13:59:59	FO	27	A	469	1579	0	-	0.703	0	-	0.84	-	-	-	-	-	-	469	1579	0.703	7.8
100876	2021-12-19	14:01:39	F	28	A	422	649	27	-	0.35	4	329	0.84	0.709	0.712	0.553	1.433	0.267	0.383	469	1579	0.703	7.8
200854	2021-12-19	14:03:19	F	29	A	329	468	47	-	0.297	5.9	275	0.84	0.72	0.826	0.602	2.374	0.208	0.495	469	1579	0.703	7.8
300847	2021-12-19	14:04:59	F	30	A	317	457	68	-	0.306	8.7	271	0.84	0.753	0.832	0.644	2.455	0.201	0.493	469	1579	0.703	7.8
400832	2021-12-19	14:06:39	F	31	A	300	416	95	-	0.279	11.1	256	0.84	0.725	0.856	0.619	2.796	0.19	0.531	469	1579	0.703	7.8
500812	2021-12-19	14:08:19	F	32	A	287	372	132	-	0.228	12.6	239	0.84	0.639	0.88	0.532	3.245	0.182	0.59	469	1579	0.703	7.9
600818	2021-12-19	14:09:59	F	33	A	282	335	200	-	0.158	13.3	223	0.84	0.473	0.899	0.374	3.713	0.179	0.663	469	1579	0.703	7.8
700807	2021-12-19	14:11:39	F	34	A	278	315	299	-	0.117	14.7	214	0.84	0.366	0.909	0.282	4.013	0.176	0.707	469	1579	0.703	7.8
800787	2021-12-19	14:13:19	F	35	A	278	301	442	-	0.076	14.1	207	0.84	0.245	0.915	0.182	4.246	0.176	0.748	469	1579	0.703	7.8
900769	2021-12-19	14:14:59	F	36	A	277	292	662	-	0.051	14.2	203	0.84	0.169	0.92	0.124	4.408	0.175	0.774	469	1579	0.703	7.8
1000752	2021-12-19	14:16:39	F	37	A	274	285	866	-	0.039	14.2	200	0.84	0.129	0.923	0.094	4.54	0.174	0.787	469	1579	0.703	7.8
1100742	2021-12-19	14:18:19	F	38	A	271	279	1211	-	0.029	14.7	197	0.84	0.098	0.926	0.071	4.659	0.172	0.799	469	1579	0.703	7.8
1200751	2021-12-19	14:19:59	F	39	A	264	274	1581	-	0.036	23.9	194	0.84	0.125	0.928	0.092	4.763	0.167	0.797	469	1579	0.703	7.8
1203769	2021-12-19	14:20:02	SLCE		Light Curve end 																		
PlantID	SO18-H1-5-4																						
Time (rel/ms)	Date	Time	Type	No.	2:Mark	2:F	2:Fm'	2:PAR	2:Temp	2:Y (II)	2:ETR	2:Fo'	2:ETR-F.	2:qP	2:qN	2:qL	2:NPQ	2:Y (NO)	2:Y (NPQ)	2:Fo	2:Fm	2:Fv/Fm	2:Batt.
0			D		Device Nr: #2, MINI-PAM-II (PYAD0264A) 																		
0	2021-12-19	14:22:16	SLCS		Light Curve start 																		
0	2021-12-19	14:22:16	REG1		#2: alpha: - , ETRm: - , Ik: -   ( beta: - 0.002, ETRmPot: 11.974 ) 																		
0	2021-12-19	14:22:16	REG2		#2: alpha: 0.131, ETRm: 13.232, Ik: 101.008 																		
1224	2021-12-19	14:22:17	SCHS		Chart start 																		
1225	2021-12-19	14:22:17	FO	40	A	437	1502	0	-	0.709	0	-	0.84	-	-	-	-	-	-	437	1502	0.709	7.8
101210	2021-12-19	14:23:57	F	41	A	413	610	27	-	0.323	3.7	307	0.84	0.65	0.715	0.483	1.462	0.275	0.402	437	1502	0.709	7.8
201193	2021-12-19	14:25:37	F	42	A	361	509	47	-	0.291	5.7	279	0.84	0.643	0.784	0.497	1.951	0.24	0.469	437	1502	0.709	7.8
301179	2021-12-19	14:27:17	F	43	A	346	490	68	-	0.294	8.4	273	0.84	0.664	0.796	0.524	2.065	0.23	0.476	437	1502	0.709	7.8
401163	2021-12-19	14:28:57	F	44	A	320	424	95	-	0.245	9.8	251	0.84	0.601	0.838	0.471	2.542	0.213	0.542	437	1502	0.709	7.8
501168	2021-12-19	14:30:37	F	45	A	291	361	132	-	0.194	10.8	228	0.84	0.526	0.875	0.412	3.161	0.194	0.612	437	1502	0.709	7.8
601152	2021-12-19	14:32:17	F	46	A	279	325	200	-	0.142	11.9	213	0.84	0.411	0.895	0.314	3.622	0.186	0.672	437	1502	0.709	7.8
701139	2021-12-19	14:33:57	F	47	A	274	304	300	-	0.099	12.5	204	0.84	0.3	0.906	0.223	3.941	0.182	0.719	437	1502	0.709	7.8
801126	2021-12-19	14:35:37	F	48	A	273	294	442	-	0.071	13.2	199	0.84	0.221	0.911	0.161	4.109	0.182	0.747	437	1502	0.709	7.8
901107	2021-12-19	14:37:17	F	49	A	274	287	662	-	0.045	12.5	196	0.84	0.143	0.915	0.102	4.233	0.182	0.773	437	1502	0.709	7.8
1001119	2021-12-19	14:38:57	F	50	A	273	284	866	-	0.039	14.2	194	0.84	0.122	0.915	0.087	4.289	0.182	0.779	437	1502	0.709	7.8
1101098	2021-12-19	14:40:37	F	51	A	273	279	1212	-	0.022	11.2	192	0.84	0.069	0.918	0.049	4.384	0.182	0.796	437	1502	0.709	7.8
1201087	2021-12-19	14:42:17	F	52	A	269	276	1581	-	0.025	16.6	191	0.84	0.082	0.92	0.058	4.442	0.179	0.796	437	1502	0.709	7.8
1204261	2021-12-19	14:42:20	SLCE		Light Curve end 																		
PlantID	SO18-H3-7-28																						
Time (rel/ms)	Date	Time	Type	No.	2:Mark	2:F	2:Fm'	2:PAR	2:Temp	2:Y (II)	2:ETR	2:Fo'	2:ETR-F.	2:qP	2:qN	2:qL	2:NPQ	2:Y (NO)	2:Y (NPQ)	2:Fo	2:Fm	2:Fv/Fm	2:Batt.
0			D		Device Nr: #2, MINI-PAM-II (PYAD0264A) 																		
0	2021-12-19	14:44:45	SLCS		Light Curve start 																		
0	2021-12-19	14:44:45	REG1		#2: alpha: - , ETRm: - , Ik: -   ( beta: - 0.003, ETRmPot: 16.894 ) 																		
0	2021-12-19	14:44:45	REG2		#2: alpha: 0.119, ETRm: 19.536, Ik: 164.344 																		
1295	2021-12-19	14:44:46	SCHS		Chart start 																		
1296	2021-12-19	14:44:46	FO	53	A	361	1665	0	-	0.783	0	-	0.84	-	-	-	-	-	-	361	1665	0.783	7.8
101254	2021-12-19	14:46:26	F	54	A	537	814	26	-	0.34	3.7	294	0.84	0.533	0.601	0.292	1.045	0.323	0.337	361	1665	0.783	7.8
201275	2021-12-19	14:48:06	F	55	A	424	585	47	-	0.275	5.4	258	0.84	0.492	0.749	0.299	1.846	0.255	0.47	361	1665	0.783	7.8
301282	2021-12-19	14:49:46	F	56	A	387	530	68	-	0.27	7.7	247	0.84	0.505	0.783	0.322	2.142	0.232	0.498	361	1665	0.783	7.8
401260	2021-12-19	14:51:26	F	57	A	383	522	95	-	0.266	10.6	245	0.84	0.502	0.788	0.321	2.19	0.23	0.504	361	1665	0.783	7.8
501232	2021-12-19	14:53:06	F	58	A	393	520	132	-	0.244	13.5	244	0.84	0.46	0.788	0.286	2.202	0.236	0.52	361	1665	0.783	7.8
601236	2021-12-19	14:54:46	F	59	A	407	503	200	-	0.191	16	241	0.84	0.366	0.799	0.217	2.31	0.244	0.565	361	1665	0.783	7.8
701221	2021-12-19	14:56:26	F	60	A	418	483	299	-	0.135	17	236	0.84	0.263	0.811	0.148	2.447	0.251	0.614	361	1665	0.783	7.8
801198	2021-12-19	14:58:06	F	61	A	422	467	442	-	0.096	17.8	232	0.84	0.191	0.82	0.105	2.565	0.253	0.651	361	1665	0.783	7.8
901211	2021-12-19	14:59:46	F	62	A	426	456	662	-	0.066	18.4	229	0.84	0.132	0.826	0.071	2.651	0.256	0.678	361	1665	0.783	7.8
1001197	2021-12-19	15:01:26	F	63	A	424	449	865	-	0.056	20.3	227	0.84	0.113	0.83	0.06	2.708	0.255	0.689	361	1665	0.783	7.8
1101176	2021-12-19	15:03:06	F	64	A	422	438	1211	-	0.037	18.8	225	0.84	0.075	0.837	0.04	2.801	0.253	0.71	361	1665	0.783	7.8
1201158	2021-12-19	15:04:46	F	65	A	418	433	1582	-	0.035	23.3	223	0.84	0.071	0.839	0.038	2.845	0.251	0.714	361	1665	0.783	7.8
1203683	2021-12-19	15:04:48	SLCE		Light Curve end 																		
PlantID	SO18-H1-2-27																						
Time (rel/ms)	Date	Time	Type	No.	2:Mark	2:F	2:Fm'	2:PAR	2:Temp	2:Y (II)	2:ETR	2:Fo'	2:ETR-F.	2:qP	2:qN	2:qL	2:NPQ	2:Y (NO)	2:Y (NPQ)	2:Fo	2:Fm	2:Fv/Fm	2:Batt.
0			D		Device Nr: #2, MINI-PAM-II (PYAD0264A) 																		
0	2021-12-19	15:09:02	SLCS		Light Curve start 																		
0	2021-12-19	15:09:02	REG1		#2: alpha: - , ETRm: - , Ik: -   ( beta: - 0.001, ETRmPot: 19.323 ) 																		
0	2021-12-19	15:09:02	REG2		#2: alpha: 0.092, ETRm: 20.435, Ik: 222.885 																		
471	2021-12-19	15:09:02	SCHS		Chart start 																		
472	2021-12-19	15:09:02	FO	66	A	563	2120	0	-	0.734	0	-	0.84	-	-	-	-	-	-	563	2120	0.734	7.8
100456	2021-12-19	15:10:42	F	67	A	664	969	27	-	0.315	3.6	428	0.84	0.564	0.653	0.364	1.188	0.313	0.372	563	2120	0.734	7.8
200428	2021-12-19	15:12:22	F	68	A	473	607	47	-	0.221	4.4	339	0.84	0.5	0.828	0.358	2.493	0.223	0.556	563	2120	0.734	7.8
300422	2021-12-19	15:14:02	F	69	A	429	546	68	-	0.214	6.1	319	0.84	0.515	0.854	0.383	2.883	0.202	0.584	563	2120	0.734	7.8
400414	2021-12-19	15:15:42	F	70	A	422	538	95	-	0.216	8.6	316	0.84	0.523	0.857	0.392	2.941	0.199	0.585	563	2120	0.734	7.8
500393	2021-12-19	15:17:22	F	71	A	423	532	132	-	0.205	11.4	314	0.84	0.5	0.86	0.371	2.985	0.2	0.595	563	2120	0.734	7.8
600395	2021-12-19	15:19:02	F	72	A	429	518	200	-	0.172	14.4	309	0.84	0.426	0.866	0.307	3.093	0.202	0.626	563	2120	0.734	7.8
700382	2021-12-19	15:20:42	F	73	A	433	500	300	-	0.134	16.9	303	0.84	0.34	0.873	0.238	3.24	0.204	0.662	563	2120	0.734	7.8
800373	2021-12-19	15:22:22	F	74	A	432	480	442	-	0.1	18.6	295	0.84	0.259	0.881	0.177	3.417	0.204	0.696	563	2120	0.734	7.8
900356	2021-12-19	15:24:02	F	75	A	427	461	662	-	0.074	20.6	288	0.84	0.197	0.889	0.133	3.599	0.201	0.725	563	2120	0.734	7.8
1000343	2021-12-19	15:25:42	F	76	A	421	445	866	-	0.054	19.6	282	0.84	0.147	0.895	0.098	3.764	0.199	0.747	563	2120	0.734	7.8
1100321	2021-12-19	15:27:22	F	77	A	417	435	1212	-	0.041	20.9	278	0.84	0.115	0.899	0.077	3.874	0.197	0.762	563	2120	0.734	7.8
1200329	2021-12-19	15:29:02	F	78	A	413	427	1581	-	0.033	21.9	274	0.84	0.092	0.902	0.061	3.965	0.195	0.772	563	2120	0.734	7.8
1203478	2021-12-19	15:29:05	SLCE		Light Curve end 																		
PlantID	SO18-H3-4-10																						
Time (rel/ms)	Date	Time	Type	No.	2:Mark	2:F	2:Fm'	2:PAR	2:Temp	2:Y (II)	2:ETR	2:Fo'	2:ETR-F.	2:qP	2:qN	2:qL	2:NPQ	2:Y (NO)	2:Y (NPQ)	2:Fo	2:Fm	2:Fv/Fm	2:Batt.
0			D		Device Nr: #2, MINI-PAM-II (PYAD0264A) 																		
0	2021-12-19	15:31:23	SLCS		Light Curve start 																		
0	2021-12-19	15:31:23	REG1		#2: alpha: - , ETRm: - , Ik: -   ( beta: - 0.002, ETRmPot: 13.233 ) 																		
0	2021-12-19	15:31:23	REG2		#2: alpha: 0.118, ETRm: 14.940, Ik: 126.611 																		
872	2021-12-19	15:31:23	SCHS		Chart start 																		
873	2021-12-19	15:31:23	FO	79	A	334	1387	0	-	0.759	0	-	0.84	-	-	-	-	-	-	334	1387	0.759	7.8
100857	2021-12-19	15:33:03	F	80	A	452	738	27	-	0.388	4.4	276	0.84	0.619	0.561	0.378	0.879	0.326	0.286	334	1387	0.759	7.8
200846	2021-12-19	15:34:43	F	81	A	345	494	47	-	0.302	6	233	0.84	0.571	0.752	0.386	1.808	0.249	0.449	334	1387	0.759	7.8
300827	2021-12-19	15:36:23	F	82	A	318	435	68	-	0.269	7.7	219	0.84	0.542	0.795	0.373	2.189	0.229	0.502	334	1387	0.759	7.9
400815	2021-12-19	15:38:03	F	83	A	313	410	95	-	0.237	9.5	212	0.84	0.49	0.812	0.332	2.383	0.226	0.537	334	1387	0.759	7.8
500818	2021-12-19	15:39:43	F	84	A	308	387	132	-	0.204	11.3	206	0.84	0.436	0.828	0.292	2.584	0.222	0.574	334	1387	0.759	7.8
600801	2021-12-19	15:41:23	F	85	A	311	365	200	-	0.148	12.4	199	0.84	0.325	0.842	0.208	2.8	0.224	0.628	334	1387	0.759	7.8
700757	2021-12-19	15:43:03	F	86	A	313	348	300	-	0.101	12.7	194	0.84	0.227	0.854	0.141	2.986	0.226	0.673	334	1387	0.759	7.8
800773	2021-12-19	15:44:43	F	87	A	313	339	442	-	0.077	14.3	191	0.84	0.176	0.859	0.107	3.091	0.226	0.697	334	1387	0.759	7.8
900756	2021-12-19	15:46:23	F	88	A	313	329	662	-	0.049	13.6	188	0.84	0.113	0.866	0.068	3.216	0.226	0.725	334	1387	0.759	7.9
1000744	2021-12-19	15:48:03	F	89	A	311	325	866	-	0.043	15.6	187	0.84	0.101	0.869	0.061	3.268	0.224	0.733	334	1387	0.759	7.9
1100745	2021-12-19	15:49:43	F	90	A	307	319	1211	-	0.038	19.3	185	0.84	0.09	0.873	0.054	3.348	0.221	0.741	334	1387	0.759	7.8
1200734	2021-12-19	15:51:23	F	91	A	305	312	1581	-	0.022	14.6	183	0.84	0.054	0.877	0.032	3.446	0.22	0.758	334	1387	0.759	7.8
1203468	2021-12-19	15:51:26	SLCE		Light Curve end 																		
PlantID	SO18-H1-2-24																						
