n	plant_id	ploidy	habitat	W_g	TW_g	DW_g	area_cm2	RWC	LMA_gm2	pixels	p_cm2	cup_mg	ws_mg	s_mg	tray_id	fvfm_avg	SLA	whc_p	CN_ratio	Np
112	SO18-H3-04-12	2x	ridge	0.0501	0.072	0.0122	1.27879387	63.3779	95.4023966	18109	14161	26.99	32.71	5.72	G4	NA	104.8191697	79.59866221	49.5210	0.89
113	SO18-H3-04-28	2x	ridge	0.0149	0.0187	0.0036	0.538521291	74.8344	66.84972463	7626	14161	NA	NA	NA	NA	NA	149.5892475	76.1589404	NA	NA
114	SO18-H3-04-38	2x	ridge	0.0215	0.0288	0.0063	0.636960667	67.5556	98.90720621	9020	14161	27.07	32.52	5.45	G3	NA	101.1048677	72	43.1458	1.02
115	SO18-H3-04-07	2x	ridge	0.0195	0.0259	0.0052	0.637949297	69.0821	81.51117999	9034	14161	27.39	32.09	4.7	G5*	NA	122.6825572	74.87922705	35.0124	1.28
116	SO18-H3-04-32	2x	ridge	0.0395	0.0558	0.01	1.10818445	64.4105	90.23768559	15693	14161	26.59	32.09	5.5	A10	NA	110.818445	78.16593886	34.1440	1.30
117	SO18-H3-04-05	2x	ridge	0.0287	0.0382	0.0066	0.727349763	69.9367	90.74038835	10300	14161	26.57	31.14	4.57	F12	NA	110.2045096	79.11392405	39.4715	1.13
118	SO18-H3-04-11	4x	ridge	0.0168	0.0199	0.0055	0.425111221	78.4722	129.377907	6020	14161	27.62	32.65	5.03	F10	NA	77.29294927	61.80555556	41.4680	1.02
119	SO18-H3-04-17	4x	ridge	0.0201	0.0294	0.006	0.575100628	60.2564	104.3295678	8144	14161	27.33	32.56	5.23	G2	NA	95.85010475	74.35897436	25.5209	1.80
120	SO18-H3-04-41	4x	ridge	0.0202	0.0319	0.0063	0.621919356	54.2969	101.2993074	8807	14161	27.46	32.41	4.95	F11	NA	98.71735809	75.390625	28.8369	1.59
121	SO19-H1-14-37	4x	riverbed	0.024	0.0311	0.0062	0.706094202	71.48594378	87.8069807	9999	14161	26.93	33.01	6.08	F9	NA	113.8861617	75.10040161	37.2007	1.23
122	SO19-H1-14-46	4x	riverbed	0.0255	0.034	0.0073	0.648965469	68.16479401	112.4867247	9190	14161	26.66	32.57	5.91	F8	NA	88.89937925	72.65917603	39.6137	1.13
123	SO19-H1-14-31	4x	riverbed	0.0297	0.0383	0.0085	0.825718523	71.1409396	102.9406483	11693	14161	26.46	32.43	5.97	F7	NA	97.14335561	71.47651007	41.2786	1.11
124	SO19-H1-14-17	4x	riverbed	0.0125	0.0116	0.0029	0.403149495	110.3448276	71.93361359	5709	14161	NA	NA	NA	NA	NA	139.0170673	66.66666667	NA	NA
125	SO19-H1-14-30	4x	riverbed	0.0115	0.0171	0.0036	0.385142292	58.51851852	93.47194719	5454	14161	NA	NA	NA	NA	NA	106.9839701	73.33333333	NA	NA
126	SO19-H1-14-39	4x	riverbed	0.0366	0.0511	0.0095	1.118706306	65.14423077	84.91951774	15842	14161	26.85	34.5	7.65	F6	NA	117.7585585	77.16346154	34.0371	1.31
127	SO19-H1-14-32	4x	riverbed	0.0129	0.017	0.0043	0.380128522	67.71653543	113.1196359	5383	14161	NA	NA	NA	NA	NA	88.40198186	66.14173228	NA	NA
